"Var1"	"Var2"	"value"
"385"	"Rat"	"Cow_Retail"	0.472
"386"	"Skunk"	"Cow_Retail"	0.496
"387"	"Deer"	"Cow_Retail"	0.544
"388"	"Soil_Farm"	"Cow_Retail"	0.4
"389"	"Soil_Forest"	"Cow_Retail"	0.616
"390"	"Water_Sewage"	"Cow_Retail"	0.608
"391"	"Water_Surface"	"Cow_Retail"	0.664
"392"	"Farm.Lagoon"	"Cow_Retail"	0.44
"393"	"Human_Urban"	"Cow_Retail"	0.528
"394"	"Human_FarmWorker"	"Cow_Retail"	0.6
"395"	"Human_AbattoirWorker"	"Cow_Retail"	0.584
"396"	"Farm.Manure"	"Cow_Retail"	0.448
"397"	"Food.Produce"	"Cow_Retail"	0.408
"398"	"Flies"	"Cow_Retail"	0.544
"399"	"Food.Milk"	"Cow_Retail"	0.264
"400"	"Sand_Beach"	"Cow_Retail"	0.744
"401"	"Chicken_Abattoir"	"Pig_Farm"	0.296
"402"	"Chicken_Farm"	"Pig_Farm"	0.12
"403"	"Chicken_Retail"	"Pig_Farm"	0.288
"404"	"Turkey_Farm"	"Pig_Farm"	0.12
"405"	"Turkey_Retail"	"Pig_Farm"	0.288
"406"	"Duck_Farm"	"Pig_Farm"	0.12
"407"	"Goose_Farm"	"Pig_Farm"	0.12
"408"	"Cow_Abattoir"	"Pig_Farm"	0.296
"409"	"Cow_Farm"	"Pig_Farm"	0.184
"410"	"Cow_Retail"	"Pig_Farm"	0.352
"411"	"Pig_Farm"	"Pig_Farm"	0
"412"	"Pig_Retail"	"Pig_Farm"	0.208
"413"	"Goat_Farm"	"Pig_Farm"	0.2
"414"	"Sheep_Farm"	"Pig_Farm"	0.2
"415"	"Sheep_Retail"	"Pig_Farm"	0.288
"416"	"Donkey"	"Pig_Farm"	0.48
"417"	"Horse"	"Pig_Farm"	0.48
"418"	"Llama"	"Pig_Farm"	0.48
"419"	"Seagull"	"Pig_Farm"	0.56
"420"	"Raccoon"	"Pig_Farm"	0.544
"421"	"Wildbird"	"Pig_Farm"	0.584
"422"	"Cat"	"Pig_Farm"	0.544
"423"	"Dog"	"Pig_Farm"	0.544
"424"	"Bear"	"Pig_Farm"	0.424
"425"	"Rat"	"Pig_Farm"	0.44
"426"	"Skunk"	"Pig_Farm"	0.448
"427"	"Deer"	"Pig_Farm"	0.52
"428"	"Soil_Farm"	"Pig_Farm"	0.448
"429"	"Soil_Forest"	"Pig_Farm"	0.664
"430"	"Water_Sewage"	"Pig_Farm"	0.68
"431"	"Water_Surface"	"Pig_Farm"	0.696
"432"	"Farm.Lagoon"	"Pig_Farm"	0.432
"433"	"Human_Urban"	"Pig_Farm"	0.64
"434"	"Human_FarmWorker"	"Pig_Farm"	0.592
"435"	"Human_AbattoirWorker"	"Pig_Farm"	0.688
"436"	"Farm.Manure"	"Pig_Farm"	0.496
"437"	"Food.Produce"	"Pig_Farm"	0.4
"438"	"Flies"	"Pig_Farm"	0.592
"439"	"Food.Milk"	"Pig_Farm"	0.352
"440"	"Sand_Beach"	"Pig_Farm"	0.792
"441"	"Chicken_Abattoir"	"Pig_Retail"	0.256
"442"	"Chicken_Farm"	"Pig_Retail"	0.288
"443"	"Chicken_Retail"	"Pig_Retail"	0.12
"444"	"Turkey_Farm"	"Pig_Retail"	0.288
"445"	"Turkey_Retail"	"Pig_Retail"	0.12
"446"	"Duck_Farm"	"Pig_Retail"	0.288
"447"	"Goose_Farm"	"Pig_Retail"	0.288
"448"	"Cow_Abattoir"	"Pig_Retail"	0.296
"449"	"Cow_Farm"	"Pig_Retail"	0.352
"450"	"Cow_Retail"	"Pig_Retail"	0.184
"451"	"Pig_Farm"	"Pig_Retail"	0.208
"452"	"Pig_Retail"	"Pig_Retail"	0
"453"	"Goat_Farm"	"Pig_Retail"	0.24
"454"	"Sheep_Farm"	"Pig_Retail"	0.24
"455"	"Sheep_Retail"	"Pig_Retail"	0.12
"456"	"Donkey"	"Pig_Retail"	0.392
"457"	"Horse"	"Pig_Retail"	0.392
"458"	"Llama"	"Pig_Retail"	0.392
"459"	"Seagull"	"Pig_Retail"	0.56
"460"	"Raccoon"	"Pig_Retail"	0.512
"461"	"Wildbird"	"Pig_Retail"	0.584
"462"	"Cat"	"Pig_Retail"	0.504
"463"	"Dog"	"Pig_Retail"	0.504
"464"	"Bear"	"Pig_Retail"	0.424
"465"	"Rat"	"Pig_Retail"	0.408
"466"	"Skunk"	"Pig_Retail"	0.432
"467"	"Deer"	"Pig_Retail"	0.52
"468"	"Soil_Farm"	"Pig_Retail"	0.448
"469"	"Soil_Forest"	"Pig_Retail"	0.664
"470"	"Water_Sewage"	"Pig_Retail"	0.64
"471"	"Water_Surface"	"Pig_Retail"	0.68
"472"	"Farm.Lagoon"	"Pig_Retail"	0.432
"473"	"Human_Urban"	"Pig_Retail"	0.52
"474"	"Human_FarmWorker"	"Pig_Retail"	0.648
"475"	"Human_AbattoirWorker"	"Pig_Retail"	0.632
"476"	"Farm.Manure"	"Pig_Retail"	0.496
"477"	"Food.Produce"	"Pig_Retail"	0.4
"478"	"Flies"	"Pig_Retail"	0.592
"479"	"Food.Milk"	"Pig_Retail"	0.28
"480"	"Sand_Beach"	"Pig_Retail"	0.776
"481"	"Chicken_Abattoir"	"Goat_Farm"	0.28
"482"	"Chicken_Farm"	"Goat_Farm"	0.2
"483"	"Chicken_Retail"	"Goat_Farm"	0.24
"484"	"Turkey_Farm"	"Goat_Farm"	0.2
"485"	"Turkey_Retail"	"Goat_Farm"	0.24
"486"	"Duck_Farm"	"Goat_Farm"	0.2
"487"	"Goose_Farm"	"Goat_Farm"	0.2
"488"	"Cow_Abattoir"	"Goat_Farm"	0.24
"489"	"Cow_Farm"	"Goat_Farm"	0.184
"490"	"Cow_Retail"	"Goat_Farm"	0.224
"491"	"Pig_Farm"	"Goat_Farm"	0.2
"492"	"Pig_Retail"	"Goat_Farm"	0.24
"493"	"Goat_Farm"	"Goat_Farm"	0
"494"	"Sheep_Farm"	"Goat_Farm"	0.032
"495"	"Sheep_Retail"	"Goat_Farm"	0.16
"496"	"Donkey"	"Goat_Farm"	0.352
"497"	"Horse"	"Goat_Farm"	0.352
"498"	"Llama"	"Goat_Farm"	0.352
