"Var1"	"Var2"	"value"
"410"	"Cow_Farm"	"Goat_Farm"	0.112
"411"	"Goat_Farm"	"Goat_Farm"	0
"412"	"Sheep_Farm"	"Goat_Farm"	0.0479999999999999
"413"	"Cow_Retail"	"Goat_Farm"	0.192
"414"	"Pig_Farm"	"Goat_Farm"	0.144
"415"	"Pig_Retail"	"Goat_Farm"	0.224
"416"	"Sheep_Retail"	"Goat_Farm"	0.144
"417"	"Donkey"	"Goat_Farm"	0.344
"418"	"Horse"	"Goat_Farm"	0.344
"419"	"Llama"	"Goat_Farm"	0.344
"420"	"Seagull"	"Goat_Farm"	0.448
"421"	"Wild Goose"	"Goat_Farm"	0.512
"422"	"Raccoon"	"Goat_Farm"	0.416
"423"	"Cat"	"Goat_Farm"	0.472
"424"	"Dog"	"Goat_Farm"	0.472
"425"	"Fly"	"Goat_Farm"	0.416
"426"	"Rat"	"Goat_Farm"	0.344
"427"	"Skunk"	"Goat_Farm"	0.36
"428"	"Deer"	"Goat_Farm"	0.384
"429"	"Farm Soil"	"Goat_Farm"	0.376
"430"	"Sewage"	"Goat_Farm"	0.584
"431"	"Lake Water"	"Goat_Farm"	0.568
"432"	"Human_Urban"	"Goat_Farm"	0.544
"433"	"Human_Farm Worker"	"Goat_Farm"	0.496
"434"	"Human_Abattoir Worker"	"Goat_Farm"	0.576
"435"	"Farm Lagoon"	"Goat_Farm"	0.424
"436"	"Farm Manure"	"Goat_Farm"	0.448
"437"	"Fresh Produce"	"Goat_Farm"	0.304
"438"	"Raw Milk"	"Goat_Farm"	0.2
"439"	"Beach Sand"	"Goat_Farm"	0.64
"440"	"Irrigation Water"	"Goat_Farm"	0.544
"441"	"Chicken_Abattoir"	"Sheep_Farm"	0.24
"442"	"Chicken_Farm"	"Sheep_Farm"	0.144
"443"	"Chicken_Retail"	"Sheep_Farm"	0.224
"444"	"Turkey_Farm"	"Sheep_Farm"	0.144
"445"	"Turkey_Retail"	"Sheep_Farm"	0.224
"446"	"Duck_Farm"	"Sheep_Farm"	0.144
"447"	"Duck_Retail"	"Sheep_Farm"	0.224
"448"	"Goose_Farm"	"Sheep_Farm"	0.144
"449"	"Cow_Abattoir"	"Sheep_Farm"	0.192
"450"	"Cow_Farm"	"Sheep_Farm"	0.112
